project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,010a69a2fbfcfce647181abfd02d7c3e139d880a,1,1,1,0,1730,974.096,1635,3,0.00359954,0,0,3,2,639
tor_1,010b8dd4f6e8e3c3d2e44ff589ff61cbf64b952a,2,2,2,0.450982,94,75.7142,112,5,15.1243,125.5,0,10,1,794
tor_1,010f703a9648444f94ee66e1f84570b116935be8,1,1,7,0.652864,59,53.1743,59,4,1.47705,0,0,58,36,565.143
tor_1,010fd50c365f90f98e9e8ec243a573aba4c53cfa,1,1,2,0.356465,3641,1535.86,1059,4,0.108397,437,1,30,19,3011.5
tor_1,011307dd5fa608739456b98d259b013286320b91,2,4,6,0.475269,70,39.0897,94,28,31.2093,99.1667,1,41,9,1055.83
tor_1,0116eae59a35e4303ca179d6b0fb0302a83e87a1,2,3,3,0.353759,74,40.4224,106,28,6.86389,170.667,1,18,14,1154.33
tor_1,0117e2ea0dc09408e2fbc7224e335968af009874,0,0,0,0,14721,3796.98,0,0,0,0,0,0,0,0
tor_1,01184f164f027aa4e34a9f6b90c01120040f63cb,0,0,0,0,8099,2148.2,0,0,0,0,0,0,0,0
tor_1,0118d98b1342b5e135b5a25f2809af627b8602f9,1,1,1,0,6530,1872.21,255,0,0,0,0,7,0,0
tor_1,011941853cc7f7211b1d57b0b43b6bbbfb013ad1,2,2,3,0.312401,199,97.7593,91,4,76.0113,264.667,0,7,20,273
tor_1,011b7324366ec9b4c5546b42cb702b440ab7c672,1,1,1,0,24,14.1112,13,2,36.819,3,0,31,41,188
tor_1,011d94fb11c0ccd8d009acba04304588f6d3694b,1,1,36,0.4494,14888,3826.43,6810,62,59.5715,54.0833,0,465,468,1510.31
tor_1,011e0a6d1e3ff24b5d247b0eb5d48da4ce7b5727,1,1,1,0,71,62.4,71,3,1.33811,0,0,19,0,80
tor_1,011e56ae266e225ee498d9d27cce91d3320bccab,2,2,4,0.339857,20571,4279.31,5472,21,26.7645,554.75,0,26,12,7881
tor_1,012068935a632fa3d578cee956b6aed141055379,2,2,2,0.734496,8197,2175.03,4505,5,27.2958,33,1,8,2,391.5
tor_1,0121caef61abb0d8e2d0e6cc92aaadf507603387,1,1,3,0.627308,4648,1592.8,670,6,93.566,27,0,9,6,237
tor_1,012264d981c99fdf4d89f5c38287e01c271a4b09,1,1,1,0,974,667.794,963,6,0.0328935,0,0,4,2,1225
tor_1,0124b10d2850c42e61a4ba65f61af579b47f425b,3,3,3,0.705321,8380,2255.7,5498,44,2.21044,526,0,6,3,2786.67
tor_1,0126150c2d42c028c208529caf853c0d19ec4f5f,0,0,0,0,6977,1930.46,0,0,0,0,0,0,0,0
tor_1,0127888b0623696d654125b4fa69200485e65a7f,1,1,1,0,104,58.732,91,5,221.374,57,0,51,1,859
tor_1,0128615efda12b3dc61f4840f04f5f737dc852db,1,11,107,0.374975,14,11.1095,13,0,0,0,0,27534,0,0
