project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,01492d3869a49ff005dd8590e11466dd3cc0045a,1,1,1,0,2,1.98376,2,7,67.2479,42,1,4,2,1165
tor,0149c4ed555db821e9331f1925fae46638a30f46,1,1,1,0,163,128.166,27,2,3.39694,4,0,94,4,271
tor,014abf86e5a6484d23f72bb6959d78e379d90206,0,0,0,0,830,371.075,0,0,0,0,0,0,0,0
tor,014c6bfe00d4f07144fb0a02915df7e0aa85630f,1,1,1,0,2727,1334.32,1805,5,0.233947,445,0,2,0,3574
tor,014e69054d5a09664753d149eb5556ec059bcb11,1,1,1,0,7454,2014.45,5089,2,0.00972222,22,0,48,0,919
tor,015189b5df17d3572d27e850336e9d1c9dc83c6d,1,1,3,0.202403,4647,1442.16,3666,13,16.417,573.333,0,47,47,2305
tor,0151e1d1586b2e96dffb667cf2825e4fe993b62e,1,1,1,0,12612,3081.44,1607,0,0,0,0,4,0,0
tor,015232bd394367b8422b69222847e622a45b3714,1,2,4,0.55171,684,459.443,558,5,12.7616,88.25,1,15,2,1212.5
tor,015f710f72823bc31c3075fb41d3ae33eb7abe06,0,0,0,0,9163,2281.21,0,0,0,0,0,0,0,0
tor,015f7229573a5c30401844da1326556b536a8afb,1,1,1,0,896,627.453,120,3,107.048,26,0,5,4,46
tor,015fcd0e1191aa6fec672a6e01bf348638eba8a0,2,2,2,0.405639,15569,3869.26,11041,29,101.503,418,1,14,6,1820
tor,0164f16f70d17da202c8085e620e9cf043eda0b3,1,1,1,0,119,87.4236,107,13,0.00429398,814,0,5,1,4164
tor,0165f2765f73fbe585c01dce82d7b10417237836,1,1,1,0,665,209.268,339,2,35.0402,310,0,6,0,1352
