fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,c47e4287252446c234c7a3bffa449ddb4276847f,0,0,0,0,823,80,Parrot,1.0,4.0,4.0,0.394918,26.0,24.9813,22.0,2.0,1.50182,20.75,0.0,41.0,39.0,559.25
a2d882aba9095bcd210fd956216f764fa3637eee,e9a2813ca6fe13cb0acdacc1db8d271da650fed6,1,0,0,0,80,6,Parrot,1.0,1.0,1.0,0.0,616.0,521.399,380.0,2.0,0.00630787,49.0,0.0,3.0,3.0,619.0
a2d882aba9095bcd210fd956216f764fa3637eee,df1747f4bc91c9c2fe57f9877672e7dd65f1bfef,0,0,0,0,41,85,Parrot,3.0,6.0,8.0,0.411744,10.0,9.99958,16.0,3.0,0.00569444,20.25,0.0,38.0,47.0,438.5
a2d882aba9095bcd210fd956216f764fa3637eee,df1747f4bc91c9c2fe57f9877672e7dd65f1bfef,0,0,0,0,41,85,Parrot,3.0,6.0,8.0,0.411744,10.0,9.99958,16.0,3.0,0.00569444,20.125,0.0,38.0,47.0,438.5
a2d882aba9095bcd210fd956216f764fa3637eee,bf0797a479234c215f6f7cfa8056167bba5f63fb,0,0,0,0,185,50,Parrot,2.0,2.0,2.0,0.347994,522.0,436.317,148.0,2.0,3.78667,42.5,0.0,44.0,6.0,1496.5
a2d882aba9095bcd210fd956216f764fa3637eee,d44b34cd4f5304f07c461b3fe1aeba53e1816f8c,0,0,0,0,523,87,Parrot,2.0,4.0,4.0,0.531296,318.0,264.258,273.0,2.0,4.57291,6.25,0.0,61.0,26.0,533.25
a2d882aba9095bcd210fd956216f764fa3637eee,3453960438e563f4ed03ea7a8d807a7da80ac46b,0,0,0,0,145,16,Parrot,1.0,1.0,1.0,0.0,422.0,315.057,280.0,2.0,0.0185764,39.0,0.0,12.0,4.0,334.0
a2d882aba9095bcd210fd956216f764fa3637eee,6956c2811b0f852b704aa0b7c6a02267284597d3,0,0,0,0,144,12,Parrot,1.0,1.0,1.0,0.0,555.0,465.137,67.0,2.0,0.696308,91.0,0.0,11.0,1.0,344.0
a2d882aba9095bcd210fd956216f764fa3637eee,5903ae17c2bcf98a8cb0b3e9ac328b37224650ce,0,0,0,0,413,34,Parrot,2.0,2.0,4.0,0.303096,351.0,311.061,305.0,2.0,0.262431,21.5,0.0,28.0,6.0,78.25
a2d882aba9095bcd210fd956216f764fa3637eee,bf8060f50ee2c35d7c8eb13f3897d61b25ef847f,0,0,0,0,362,18,Parrot,1.0,2.0,2.0,0.0742324,378.0,322.298,280.0,2.0,0.451736,24.5,0.0,15.0,3.0,401.5
a2d882aba9095bcd210fd956216f764fa3637eee,80815b69d318e18dc0eefc9cbae6b7c1d12c7114,0,0,0,0,367,4,Parrot,1.0,1.0,1.0,0.0,382.0,302.173,39.0,2.0,5.30411,22.0,0.0,2.0,2.0,183.0
a2d882aba9095bcd210fd956216f764fa3637eee,4671556f641f7f528514bd859ec8da21b726c944,0,0,0,0,463,116,Parrot,2.0,3.0,4.0,0.0794642,320.0,283.459,271.0,2.0,13.6843,14.5,0.0,59.0,57.0,591.25
